Global Statistics
Total number of particles:,5501
Surface Coverage (%):,34.37
Total grain area (µm²):,133844.25
Mean grain area (µm²):,24.33
Particle density (particles/µm²):,0.014128

Size Distribution Statistics
Mean area (µm²):,24.33
Median area (µm²):,20.25
Standard deviation of area (µm²):,15.81
Mean perimeter (µm):,19.93
Median perimeter (µm):,17.81
Standard deviation of perimeter (µm):,8.77

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
266,56.0,16.89,44.34,24.06,12.77,33.04
267,55.75,16.85,65.34,34.26,11.01,43.15
268,55.5,16.81,-71.96,30.32,13.46,45.61
269,55.5,16.81,88.09,20.55,15.39,33.97
270,55.5,16.81,-80.16,27.78,11.35,35.51
271,55.25,16.77,-54.12,27.49,11.2,33.8
272,55.25,16.77,-16.39,27.34,11.24,35.51
273,55.25,16.77,30.38,29.41,13.03,42.87
274,55.0,16.74,-13.05,32.65,10.16,40.75
275,55.0,16.74,34.42,22.47,14.26,34.68
276,55.0,16.74,18.95,24.39,13.5,36.8
277,55.0,16.74,-40.46,27.75,11.09,36.63
278,55.0,16.74,87.75,32.28,12.18,45.25
279,55.0,16.74,17.59,23.96,12.24,33.3
280,55.0,16.74,83.36,25.28,12.75,35.92
281,55.0,16.74,-70.17,19.32,17.13,36.04
282,55.0,16.74,-76.4,28.44,12.4,44.56
283,54.75,16.7,21.33,23.1,15.76,39.04
284,54.75,16.7,16.16,28.43,10.97,36.92
285,54.75,16.7,40.79,30.24,9.85,38.04
286,54.5,16.66,-86.92,21.87,14.06,33.07
287,54.5,16.66,-19.73,20.55,15.91,34.3
288,54.5,16.66,-55.33,25.69,12.06,34.82
289,54.5,16.66,-24.13,26.24,11.53,33.47
290,54.5,16.66,-32.12,35.1,11.23,45.61
291,54.5,16.66,86.39,22.19,13.7,32.76
292,54.5,16.66,30.27,27.58,12.24,40.46
293,54.5,16.66,18.35,29.48,13.1,42.04
294,54.5,16.66,-63.22,26.61,11.88,37.25
295,54.25,16.62,70.95,22.17,12.87,32.13
296,54.25,16.62,47.42,24.03,11.96,34.13
297,54.25,16.62,-63.55,28.61,12.45,40.04
298,54.25,16.62,31.92,24.06,12.2,32.51
299,54.25,16.62,64.91,23.6,13.22,36.15
300,54.25,16.62,-2.64,17.9,15.86,29.26
301,54.25,16.62,-77.58,26.17,11.47,36.04
302,54.25,16.62,58.74,29.53,10.02,36.94
303,54.25,16.62,9.32,25.54,13.36,37.46
304,54.25,16.62,37.49,23.53,12.32,32.33
305,54.25,16.62,24.78,25.7,12.11,36.42
306,54.0,16.58,-45.23,26.97,11.2,33.21
307,54.0,16.58,-87.17,19.6,16.45,36.75
308,53.75,16.55,63.21,20.74,14.6,33.42
309,53.5,16.51,38.59,16.97,16.29,29.01
310,53.5,16.51,33.32,21.51,13.46,33.49
311,53.5,16.51,-37.56,25.04,12.14,36.51
312,53.5,16.51,34.97,26.8,11.56,35.92
313,53.25,16.47,-28.91,24.08,12.53,34.94
314,53.25,16.47,32.76,22.0,13.77,32.8
315,53.25,16.47,31.5,24.88,12.33,36.63
316,53.25,16.47,-62.73,35.52,9.73,42.25
317,53.25,16.47,64.83,26.49,11.69,33.99
318,53.25,16.47,-14.29,22.91,13.62,35.13
319,53.0,16.43,3.03,22.18,13.89,34.38
