Global Statistics
Total number of particles:,530
Surface Coverage (%):,22.89
Total grain area (µm²):,89115.75
Mean grain area (µm²):,168.14
Particle density (particles/µm²):,0.001361

Size Distribution Statistics
Mean area (µm²):,168.14
Median area (µm²):,134.88
Standard deviation of area (µm²):,132.72
Mean perimeter (µm):,53.00
Median perimeter (µm):,50.84
Standard deviation of perimeter (µm):,24.50

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
511,11.75,7.74,-59.05,16.03,4.48,14.88
512,10.75,7.4,-41.87,11.85,5.16,13.88
513,10.0,7.14,22.29,7.66,7.13,12.49
514,10.0,7.14,-37.53,8.99,6.79,10.97
515,6.5,5.75,-56.96,10.2,4.46,11.22
516,6.25,5.64,-51.53,7.26,5.28,10.45
517,5.25,5.17,84.14,7.1,5.01,9.45
518,5.0,5.05,-25.37,6.92,4.67,8.04
519,2.25,3.39,9.22,5.39,2.56,4.72
520,2.0,3.19,76.24,5.59,2.05,4.21
521,2.0,3.19,19.33,4.12,2.4,3.52
522,1.0,2.26,-45.0,2.0,2.0,2.0
523,1.0,2.26,-45.0,2.0,2.0,2.0
524,0.75,1.95,90.0,3.27,0.0,0.5
525,0.75,1.95,-45.0,2.31,1.33,1.71
526,0.75,1.95,-45.0,2.31,1.33,1.71
527,0.75,1.95,45.0,2.31,1.33,1.71
528,0.25,1.13,-45.0,0.0,0.0,0.0
529,0.25,1.13,-45.0,0.0,0.0,0.0
530,0.25,1.13,-45.0,0.0,0.0,0.0
